ID,Growth,Production,BGC type,BGC
SPMDabc,1.0000000000000018,1.0000000000072453,T1PKS,
SUCFUMt,1.0000000000000018,1.0000000000072453,T1PKS,
SUCCt2_2,1.0000000000000018,1.0000000000072453,T1PKS,
PROabc,1.0000000000000018,1.0000000000072453,T1PKS,
THRt2,1.0000000000000018,1.0000000000072453,T1PKS,
TYRt2r,1.0000000000000018,1.0000000000072453,T1PKS,
URAt2,1.0000000000000018,1.0000000000072453,T1PKS,
UREAt,1.0000000000000018,1.0000000000072453,T1PKS,
VALabc,1.0000000000000018,1.0000000000072453,T1PKS,
XANt2,1.0000000000000018,1.0000000000072453,T1PKS,
PROt4,1.0000000000000018,1.0000000000072453,T1PKS,
THRt4,1.0000000000000018,1.0000000000072453,T1PKS,
SPMDt3,1.0000000000000018,1.0000000000072453,T1PKS,
ZN2t3,1.0000000000000018,1.0000000000072453,T1PKS,
PROt2r,1.0000000000000018,1.0000000000072453,T1PKS,
THRabc,1.0000000000000018,1.0000000000072453,T1PKS,
TRPt2r,1.0000000000000018,1.0000000000072453,T1PKS,
PHEt2r,1.0000000000000018,1.0000000000072453,T1PKS,
ORNabc,1.0000000000000018,1.0000000000072453,T1PKS,
Niabc,1.0000000000000018,1.0000000000072453,T1PKS,
NO3t7,1.0000000000000018,1.0000000000072453,T1PKS,
NO2t2r,1.0000000000000018,1.0000000000072453,T1PKS,
NI2t3,1.0000000000000018,1.0000000000072453,T1PKS,
Piabc,1.0000000000000018,1.0000000000072453,T1PKS,
NTP1,1.0000000000000042,1.000000000007162,T1PKS,
PPAt4,1.0000000000000024,1.0000000000071372,T1PKS,
NTPP1,0.9999999999999992,1.000000000007052,T1PKS,
OXPTNDH,1.0000000000429903,1.0000000000069609,T1PKS,
MLTP1,0.9999999999999998,1.0000000000069316,T1PKS,
GK2i,1.0000000000000089,1.0000000000068936,T1PKS,
GLCP2,1.0000000000000089,1.0000000000068936,T1PKS,
GLCP,1.0000000000000089,1.0000000000068936,T1PKS,
GLC15LACH,1.0000000000000089,1.0000000000068936,T1PKS,
GLBRAN2,1.0000000000000089,1.0000000000068936,T1PKS,
MALTHIK,1.0000000000000007,1.000000000006555,T1PKS,
BFBP,0.9999999999999981,1.0000000000064282,T1PKS,
HURH,0.9999999999999972,1.0000000000064193,T1PKS,
CYTDK1,1.000000000316464,1.0000000000063922,T1PKS,
CYTDH,1.000000000316464,1.0000000000063922,T1PKS,
DADK,1.000000000316464,1.0000000000063922,T1PKS,
DADA,1.000000000316464,1.0000000000063922,T1PKS,
DACGKIN,1.000000000316464,1.0000000000063922,T1PKS,
D5KGK,1.000000000316464,1.0000000000063922,T1PKS,
D4DGCD,1.000000000316464,1.0000000000063922,T1PKS,
AHOPS,1.000000000042997,1.0000000000063742,T1PKS,
PTAr,1.0000000000000058,1.0000000000063742,T1PKS,
ACOAD1f,0.9999676928851898,1.0000000000062568,T1PKS,
PYK,0.9999999999999968,1.0000000000062568,T1PKS,
NNATr,1.0000000000000038,1.0000000000062013,T1PKS,
GLYCDx,1.000000000000006,1.0000000000059317,T1PKS,
SO4t2,0.9993486379540969,1.000000000005891,T1PKS,
AMALT1,1.0000000000000007,1.0000000000058504,T1PKS,
ALPHNH,1.0000000000000007,1.0000000000058504,T1PKS,
ALLTAMH2,1.0000000000000007,1.0000000000058504,T1PKS,
ALDH,1.0000000000000007,1.0000000000058504,T1PKS,
ALDD1,1.0000000000000007,1.0000000000058504,T1PKS,
ALDD19xr,1.0000000000000007,1.0000000000058504,T1PKS,
AMALT2,1.0000000000000007,1.0000000000058504,T1PKS,
AMALT3,1.0000000000000007,1.0000000000058504,T1PKS,
AMALT4,1.0000000000000007,1.0000000000058504,T1PKS,
ALDD2x,1.0000000000000007,1.0000000000058504,T1PKS,
ALLTN,1.0000000000000007,1.0000000000058504,T1PKS,
SQLCYC1,1.0000000000429823,1.0000000000057692,T1PKS,
ALCD2s,1.0000000000000018,1.0000000000057692,T1PKS,
NI2t,0.9999988072510236,1.0000000000055254,T1PKS,
MMCOAL,0.999999999999997,1.0000000000054987,T1PKS,
MLTP3,0.999999999999997,1.0000000000054987,T1PKS,
MLTP2,0.999999999999997,1.0000000000054987,T1PKS,
MMSAD5,0.9999962861592941,1.000000000005497,T1PKS,
MME,1.000000000000001,1.0000000000054086,T1PKS,
THRPDC,1.000000000042981,1.0000000000053901,T1PKS,
CA2t4,0.999975951354321,1.0000000000053901,T1PKS,
ACTS15,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS9,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS8,1.0000000000000149,1.0000000000053817,T1PKS,
ACTCOALIG,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS1,1.0000000000000149,1.0000000000053817,T1PKS,
ACTCOAT,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS10,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS11,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS4,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS5,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS12,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS13,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS6,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS7,1.0000000000000149,1.0000000000053817,T1PKS,
ADA,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS3,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS18,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS2,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS16b,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS16,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS17,1.0000000000000149,1.0000000000053817,T1PKS,
ACTS14,1.0000000000000149,1.0000000000053817,T1PKS,
FTHFD,1.0000000000000078,1.0000000000053628,T1PKS,
FTHFCL_1,1.0000000000000078,1.0000000000053628,T1PKS,
PTRCTA,0.9999999999999948,1.0000000000053628,T1PKS,
FRUK,1.0000000000000078,1.0000000000053628,T1PKS,
FMNRx,1.00000000000001,1.0000000000053355,T1PKS,
SADT,1.0000000000000044,1.0000000000052454,T1PKS,
METSOXR2,0.9999999999999994,1.000000000005208,T1PKS,
ALAALAD,1.0000000000429832,1.0000000000050866,T1PKS,
AKP1,1.0000000000429832,1.0000000000050866,T1PKS,
HCSUCT,1.00000000031647,1.0000000000050815,T1PKS,
MBCOAi,0.9999999999999927,1.0000000000050748,T1PKS,
MCCC,0.9999999999999927,1.0000000000050748,T1PKS,
MBCOA3,0.9999999999999927,1.0000000000050748,T1PKS,
MBCOA2,0.9999999999999927,1.0000000000050748,T1PKS,
MAN1PT,0.9999999999999927,1.0000000000050748,T1PKS,
UPP1S,1.0000000000429843,1.0000000000049962,T1PKS,
DGI,1.0000000003164682,1.0000000000049376,T1PKS,
DIOP5OR,1.0000000000000016,1.0000000000048372,T1PKS,
CITMS,0.9993041890022897,1.000000000004816,T1PKS,
FRU6PE4P,1.0000000000000038,1.0000000000047942,T1PKS,
SULRi,1.0000000000000018,1.000000000004713,T1PKS,
NTPP2,1.0000000000000024,1.000000000004687,T1PKS,
NTPP6,1.0000000000000024,1.000000000004687,T1PKS,
NTPP7,1.0000000000000024,1.000000000004687,T1PKS,
NTPP8,1.0000000000000024,1.000000000004687,T1PKS,
NTPTP1,1.0000000000000024,1.000000000004687,T1PKS,
SBP_1,1.0000000000000002,1.0000000000046316,T1PKS,
SBTO,1.0000000000000002,1.0000000000046316,T1PKS,
SBTD_D2,1.0000000000000002,1.0000000000046316,T1PKS,
GTPDPK,1.0000000000000044,1.000000000004599,T1PKS,
HACD2,1.0000000000000044,1.000000000004599,T1PKS,
HACD9,1.0000000000000044,1.000000000004599,T1PKS,
HACD6,1.0000000000000044,1.000000000004599,T1PKS,
GUACYC,1.0000000000000044,1.000000000004599,T1PKS,
GUAPRT,1.0000000000000044,1.000000000004599,T1PKS,
HACD1,1.0000000000000044,1.000000000004599,T1PKS,
ACKr,1.000000000000001,1.0000000000045985,T1PKS,
GLYCTO1,1.0000000000000007,1.0000000000045557,T1PKS,
LYSt3r,1.0,1.000000000004469,T1PKS,
MALt2_2,1.0,1.000000000004469,T1PKS,
MG2uabc,1.0,1.000000000004469,T1PKS,
ASPO,0.9999661654246733,1.000000000004469,T1PKS,
GLYALDt,1.0,1.000000000004469,T1PKS,
GLYt4,1.0,1.000000000004469,T1PKS,
INSt2,1.0,1.000000000004469,T1PKS,
LEUabc,1.0,1.000000000004469,T1PKS,
GLYt2r,1.0,1.000000000004469,T1PKS,
GLYCAt2r,1.0,1.000000000004469,T1PKS,
GLYCAt3,1.0,1.000000000004469,T1PKS,
Kabc,1.0,1.000000000004469,T1PKS,
GLYCt,1.0,1.000000000004469,T1PKS,
GLYCLTt4,1.0,1.000000000004469,T1PKS,
GLYCLTt2r,1.0,1.000000000004469,T1PKS,
Kt3,1.0,1.000000000004469,T1PKS,
LYSabc,1.0,1.000000000004469,T1PKS,
GLUt2r,1.0,1.000000000004469,T1PKS,
GLUabc,1.0,1.000000000004469,T1PKS,
LYSt2r,1.0,1.000000000004469,T1PKS,
HISt2r,1.0,1.000000000004469,T1PKS,
GLYO1,1.0000000000000004,1.000000000004469,T1PKS,
CCCR,0.9999999999999972,1.000000000004469,T1PKS,
HOMt2,1.0,1.000000000004469,T1PKS,
GUAt2r,1.0,1.000000000004469,T1PKS,
GLYDHD,1.0000000000000004,1.000000000004469,T1PKS,
GLYK,1.0000000000000004,1.000000000004469,T1PKS,
MN2t3,1.0,1.000000000004469,T1PKS,
IDONt2r,1.0,1.000000000004469,T1PKS,
NCTPPRT,0.9999999999999994,1.000000000004469,T1PKS,
NAMNPP,0.9999999999999994,1.000000000004469,T1PKS,
ILEabc,1.0,1.000000000004469,T1PKS,
GLYCTO3,1.0000000000000004,1.000000000004469,T1PKS,
NTD2e,1.0000000000000027,1.0000000000043665,T1PKS,
FERO,0.9999783561711264,1.0000000000043066,T1PKS,
ILEDHr,0.9999999999999978,1.0000000000043026,T1PKS,
ILETA,1.0000000000000047,1.0000000000043026,T1PKS,
CPKS1,1.0000000000000016,1.0000000000042155,T1PKS,
FBA2,0.9993027976814643,1.000000000004144,T1PKS,
ALBFLOLS,1.0000000000000024,1.000000000004144,T1PKS,
ALCD19,1.0000000000000029,1.0000000000040628,T1PKS,
ALBFLONS,1.0000000000000029,1.0000000000040628,T1PKS,
NTP3,1.0000000000000029,1.0000000000039655,T1PKS,
HEX7,0.9999999999999973,1.0000000000039302,T1PKS,
CDAS9x,0.9999999999999987,1.000000000003819,T1PKS,
CDAS5y,0.9999999999999987,1.000000000003819,T1PKS,
ARGDr,1.0000000000000029,1.000000000003819,T1PKS,
CDAS14a,0.9999999999999987,1.000000000003819,T1PKS,
ALCD2x,1.0000000000000038,1.000000000003819,T1PKS,
CDAS17,0.9999999999999987,1.000000000003819,T1PKS,
CDAS7,0.9999999999999987,1.000000000003819,T1PKS,
CDAS16,0.9999999999999987,1.000000000003819,T1PKS,
CDAS5x,0.9999999999999987,1.000000000003819,T1PKS,
CDAS2,0.9999999999999987,1.000000000003819,T1PKS,
CDAS19,0.9999999999999987,1.000000000003819,T1PKS,
AKGDH,1.0000000000429852,1.0000000000037774,T1PKS,
MDDEP3,1.0000000000429938,1.0000000000037066,T1PKS,
MDH,1.0000000000429938,1.0000000000037066,T1PKS,
MDDEP1,1.0000000000429938,1.0000000000037066,T1PKS,
MDDCP4,1.0000000000429938,1.0000000000037066,T1PKS,
EAR100x,1.000000000042989,1.0000000000035725,T1PKS,
GLYCK2,1.000000000000004,1.0000000000035687,T1PKS,
BUTCOAL,1.0000000000429896,1.000000000003548,T1PKS,
THYDNAPS,1.0000000000000042,1.0000000000035347,T1PKS,
DHAK,1.0000000000429923,1.000000000003483,T1PKS,
PAPSR3,1.0000000000000022,1.0000000000033797,T1PKS,
