,Organism Name,Clade Level 1,Clade Level 2,Clade Level 3,Clade Level 4,Clade Level 5,Clade Level 6,Clade Level 7,Clade Level 8
104,Kocuria rosea,Terrabacteria_group,Actinomycetes,Micrococcales,Kocuria,,,,
105,Kocuria varians,Terrabacteria_group,Actinomycetes,Micrococcales,Kocuria,,,,
106,Limnothrix sp. CACIAM 69d,Terrabacteria_group,Cyanophyceae,,,,,,
107,Microcystis aeruginosa EAWAG127a,Terrabacteria_group,Cyanophyceae,Oscillatoriophycideae,Microcystis_aeruginosa,,,,
108,Microcystis aeruginosa PCC 9432,Terrabacteria_group,Cyanophyceae,Oscillatoriophycideae,Microcystis_aeruginosa,,,,
109,Microcystis aeruginosa MRC,Terrabacteria_group,Cyanophyceae,Oscillatoriophycideae,Microcystis_aeruginosa,,,,
110,Microcystis aeruginosa NIES-298,Terrabacteria_group,Cyanophyceae,Oscillatoriophycideae,Microcystis_aeruginosa,,,,
111,Microcystis aeruginosa NIES-88,Terrabacteria_group,Cyanophyceae,Oscillatoriophycideae,Microcystis_aeruginosa,,,,
112,Microcystis aeruginosa PCC 7806,Terrabacteria_group,Cyanophyceae,Oscillatoriophycideae,Microcystis_aeruginosa,,,,
113,Microcystis aeruginosa PCC 7005,Terrabacteria_group,Cyanophyceae,Oscillatoriophycideae,Microcystis_aeruginosa,,,,
114,Planktothrix agardhii NIES-596,Terrabacteria_group,Cyanophyceae,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothrix_agardhii,,
115,Planktothrix agardhii NIVA-CYA 126/8,Terrabacteria_group,Cyanophyceae,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,Planktothrix_agardhii,,
116,Kamptonema sp. PCC 6506,Terrabacteria_group,Cyanophyceae,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,,,
117,Trichodesmium erythraeum IMS101,Terrabacteria_group,Cyanophyceae,Oscillatoriophycideae,Oscillatoriales,Microcoleaceae,,,
118,Oscillatoria nigro-viridis PCC 7112,Terrabacteria_group,Cyanophyceae,Oscillatoriophycideae,Oscillatoriales,,,,
119,Pleurocapsa sp. PCC 7327,Terrabacteria_group,Cyanophyceae,unclassified_Pleurocapsa,,,,,
120,Pleurocapsa sp. PCC 7319,Terrabacteria_group,Cyanophyceae,unclassified_Pleurocapsa,,,,,
121,Prochlorococcus marinus str. MIT 9313,Terrabacteria_group,Cyanophyceae,Synechococcales,,,,,
122,uncultured Prochloron sp. 06037A,Terrabacteria_group,Cyanophyceae,Synechococcales,Prochloron,environmental_samples,,,
123,uncultured Prochloron sp.,Terrabacteria_group,Cyanophyceae,Synechococcales,Prochloron,environmental_samples,,,
124,Prochloron didemni,Terrabacteria_group,Cyanophyceae,Synechococcales,Prochloron,,,,
125,Scytonema sp. UIC 10036,Terrabacteria_group,Cyanophyceae,Nostocales,,,,,
126,Sphaerospermopsis sp. LEGE 00249,Terrabacteria_group,Cyanophyceae,Nostocales,,,,,
127,Tolypothrix sp. PCC 7601,Terrabacteria_group,Cyanophyceae,Nostocales,,,,,
128,Nostoc spongiaeforme var. tenue str. Carmeli,Terrabacteria_group,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,,,
129,Nostoc sp. UHCC-0398,Terrabacteria_group,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,unclassified_Nostoc,,
130,Nostoc sp. TH1S01,Terrabacteria_group,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,unclassified_Nostoc,,
131,Nostoc punctiforme PCC 73102,Terrabacteria_group,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,,,
132,Anabaena sp. 90,Terrabacteria_group,Cyanophyceae,Nostocales,Nostocaceae,,,,
133,Desmonostoc sp. PCC 7906,Terrabacteria_group,Cyanophyceae,Nostocales,Nostocaceae,,,,
134,Listeria monocytogenes SLCC2540,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Listeria_monocytogenes,,,
135,Listeria monocytogenes serotype 4b str. F2365,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Listeria_monocytogenes,,,
136,Thermoactinomyces sp.,Terrabacteria_group,Bacillota,Bacilli,Bacillales,,,,
137,Paenibacillus dendritiformis C454,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Paenibacillus,,,
138,Paenibacillus terrae,Terrabacteria_group,Bacillota,Bacilli,Bacillales,Paenibacillus,,,
